P(anchored|1 cabrillo) = 1.011660
P(cabrillo|1) = 1.011525
P(and|100 tons) = 1.011660
P(tons|100) = 1.011525
P(sighted|13 they) = 1.011660
P(they|13) = 1.011525
P(|14 1543) = 1.000000
P(validates|14 data) = 1.011660
P(data|14) = 0.505763
P(3|1497 january) = 1.011660
P(january|1497) = 1.011525
P(nunes|1520 alvar) = 1.011660
P(alvar|1520) = 1.011525
P(rodr|1529 juan) = 1.011660
P(juan|1529) = 1.011525
P(the|1530s as) = 1.011660
P(as|1530s) = 1.011525
P(named|1532 lawsuit) = 1.011660
P(lawsuit|1532) = 1.011525
P(entered|1539 and) = 1.011660
P(de|1539 francisco) = 1.011660
P(francisco|1539) = 0.505763
P(fleet|1540 the) = 1.011660
P(the|1540) = 1.011525
P(on|1542 1543) = 1.011660
P(set|1542 cabrillo) = 1.011660
P(little|1542 the) = 1.011660
P(located|1542 then) = 1.011660
P(then|1542) = 0.252881
P(was|1543 and) = 1.011660
P(his|1543 on) = 1.011660
P(an|1543 was) = 1.011660
P(was|1543) = 0.252881
P(|17th century) = 1.000000
P(century|17th) = 1.011525
P(expedition|18 the) = 1.011660
P(the|18) = 1.011525
P(galleon|200 ton) = 1.011660
P(ton|200) = 1.011525
P(strength|2015 gave) = 1.011660
P(gave|2015) = 1.011525
P(new|2023 a) = 1.011660
P(a|2023) = 1.011525
P(the|23 1542) = 1.011660
P(1542|23) = 1.011525
P(cabrillo|27 1542) = 1.011660
P(1542|27) = 1.011525
P(landed|28 he) = 1.011660
P(he|28) = 1.011525
P(was|3 1543) = 0.505830
P(1543|3) = 1.011525
P(cabrillo|30th parallel) = 1.011660
P(parallel|30th) = 1.011525
P(after|60 years) = 1.011660
P(years|60) = 1.011525
P(he|7 which) = 1.011660
P(which|7) = 1.011525
P(came|8 cabrillo) = 1.011660
P(cabrillo|8) = 1.011525
P(lawsuit|a 1532) = 1.011660
P(on|a bay) = 1.011660
P(to|a boat) = 1.011660
P(to|a crucifix) = 1.011660
P(la|a de) = 0.337220
P(garrison|a defence) = 1.011660
P(crowd|a great) = 1.011660
P(in|a hiatus) = 1.011660
P(rock|a jagged) = 1.011660
P(that|a lapse) = 1.011660
P(of|a leader) = 1.011660
P(over|a little) = 1.011660
P(of|a municipality) = 1.011660
P(publication|a new) = 1.011660
P(s|a notary) = 1.011660
P(pilot|a portuguese) = 1.011660
P(headstone|a possible) = 1.011660
P(it|a result) = 1.011660
P(family|a rodrigues) = 1.011660
P(of|a set) = 1.011660
P(of|a summary) = 1.011660
P(and|a surname) = 1.011660
P(in|a town) = 1.011660
P(to|a way) = 1.011660
P(later|a week) = 1.011660
P(was|a which) = 1.011660
P(from|a witness) = 1.011660
P(man|a young) = 1.011660
P(young|a) = 0.033718
P(rodrigues|about a) = 1.011660
P(explorer|about the) = 1.011660
P(the|about) = 0.505763
P(salvador|acajutla el) = 1.011660
P(el|acajutla) = 1.011525
P(ships|access to) = 1.011660
P(to|access) = 1.011525
P(de|accompanied francisco) = 1.011660
P(francisco|accompanied) = 1.011525
P(the|according to) = 0.337220
P(to|according) = 1.011525
P(in|account early) = 1.011660
P(cabrillo|account of) = 1.011660
P(of|account) = 0.505763
P(in|adjacent islands) = 1.011660
P(islands|adjacent) = 1.011525
P(s|after cabrillo) = 1.011660
P(flagship|after his) = 1.011660
P(his|after) = 0.505763
P(their|agreement with) = 1.011660
P(with|agreement) = 1.011525
P(near|albissola savona) = 1.011660
P(savona|albissola) = 1.011525
P(survives|all that) = 1.011660
P(that|all) = 1.011525
P(descendants|alleged local) = 1.011660
P(local|alleged) = 1.011525
P(nickname|allegedly the) = 1.011660
P(the|allegedly) = 1.011525
P(coast|along the) = 1.011660
P(the|along) = 1.011525
P(access|also had) = 1.011660
P(in|also living) = 1.011660
P(living|also) = 0.505763
P(neighboring|alta and) = 1.011660
P(and|alta) = 1.011525
P(the|alternatively as) = 1.011660
P(as|alternatively) = 1.011525
P(ez|alvar nu) = 1.011660
P(a|alvar nunes) = 1.011660
P(nunes|alvar) = 0.505763
P(fleet|alvarado s) = 0.505830
P(to|alvarado went) = 1.011660
P(went|alvarado) = 0.337175
P(on|america undertaken) = 1.011660
P(undertaken|america) = 1.011525
P(|american) = 1.011525
P(of|americano house) = 1.011660
P(house|americano) = 1.011525
P(house|an ancient) = 1.011660
P(up|an expedition) = 1.011660
P(maritime|an iberian) = 1.011660
P(woman|an indigenous) = 1.011660
P(woman|an old) = 1.011660
P(old|an) = 0.202305
